,Unnamed: 0,artistName,trackName,msPlayed,artist_genres,Track Play Count
3747,13587,Drake,Tried Our Best,209990,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",1.0
3746,13586,Drake,Bahamas Promises,184089,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",1.0
5164,22734,Central Cee,Terminal 5,72218,"['melodic drill', 'r&drill']",1.0
4376,17875,Fourfive,Money Addicts,59230,[],1.0
4375,17874,JELEEL!,DIVE IN!,5994,"['rage rap', 'rhode island rap']",1.0
5188,22879,Grimes,Oblivion,5479,"['art pop', 'canadian electropop', 'grave wave', 'indietronica', 'metropopolis', 'neo-synthpop']",1.0
3701,13198,JAY-Z,Can I Get A...,309773,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",1.0
3700,13197,Beyoncé,Upgrade U (feat. Jay-Z),273053,"['pop', 'r&b']",1.0
5181,22803,J. Cole,Rich Niggaz,12402,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",1.0
3699,13193,JAY-Z,Jigga What / Faint,21066,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",1.0
5182,22805,J. Cole,everybody dies,22105,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",1.0
5183,22824,Bob Marley & The Wailers,Coming In From The Cold,168090,"['reggae', 'roots reggae']",1.0
3696,13181,JAY-Z,Can't Knock The Hustle - Fool's Paradise Remix,253276,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",1.0
3695,13170,JAY-Z,Can I Live II,237040,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",1.0
3694,13169,JAY-Z,Regrets,272866,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",1.0
4355,17811,Isaiah Rashad,Tranquility,259552,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']",1.0
5185,22851,Mac DeMarco,Ode to Viceroy,169830,"['edmonton indie', 'lo-fi indie', 'pov: indie']",1.0
5186,22854,Mac Miller,Cinderella (feat. Ty Dolla $ign),480186,"['hip hop', 'pittsburgh rap', 'rap']",1.0
5187,22875,Flight Facilities,Crave You,6315,"['aussietronica', 'australian dance', 'australian indie', 'indietronica', 'nu disco']",1.0
4356,17812,Isaiah Rashad,Menthol (feat. Jean Deaux),177207,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']",1.0
5179,22791,Hollow Man,The Scientist (Instrumental Acoustic Guitar),256670,[],1.0
5189,22926,Kid Cudi,Enter Galactic (Love Connection Part I),140480,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",1.0
