,endTime,artistName,trackName,msPlayed,artist_genres
18338,2023-12-10 02:43,blink-182,Adam's Song,249626,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']"
18339,2023-12-10 02:46,Green Day,Basket Case,928,"['modern rock', 'permanent wave', 'punk', 'rock']"
18340,2023-12-10 02:46,MGMT,Electric Feel,1486,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']"
18341,2023-12-10 02:46,The Smashing Pumpkins,Luna - 2011 Remaster,195318,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']"
18342,2023-12-10 02:47,Green Day,Basket Case,1207,"['modern rock', 'permanent wave', 'punk', 'rock']"
18343,2023-12-10 02:47,Pixies,Debaser,36478,"['alternative rock', 'boston rock', 'permanent wave', 'rock']"
18344,2023-12-10 02:50,Pixies,Debaser,171746,"['alternative rock', 'boston rock', 'permanent wave', 'rock']"
18345,2023-12-10 02:50,Red Hot Chili Peppers,Californication,5618,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
18346,2023-12-10 04:40,Red Hot Chili Peppers,Californication,4109,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
18347,2023-12-10 04:41,Ken Carson,Fighting My Demons,79156,['rage rap']
18348,2023-12-10 04:44,Drake,Circo Loco,196069,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
18349,2023-12-10 04:48,Tom Petty,Love Is A Long Road,0,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
18350,2023-12-10 04:48,Meek Mill,Dreams and Nightmares,230693,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
18351,2023-12-10 04:50,Grizzly Bear,Two Weeks,123437,"['art pop', 'baroque pop', 'brooklyn indie', 'indie rock', 'neo-synthpop', 'new weird america']"
18352,2023-12-10 14:24,The Smashing Pumpkins,1979 - Remastered 2012,122197,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']"
18353,2023-12-10 14:28,Tom Petty,Love Is A Long Road,247600,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
18354,2023-12-10 18:24,The Verve,On Your Own - Remastered 2016,11155,"['britpop', 'permanent wave', 'rock', 'shoegaze']"
18355,2023-12-10 18:24,Coldplay,Don't Panic,125434,"['permanent wave', 'pop']"
18356,2023-12-10 18:27,The Outfield,Your Love,216466,"['album rock', 'power pop']"
18357,2023-12-10 18:32,Foo Fighters,Everlong,250546,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
18358,2023-12-10 18:35,The Verve,Catching The Butterfly,4150,"['britpop', 'permanent wave', 'rock', 'shoegaze']"
18359,2023-12-10 18:35,Tears For Fears,Everybody Wants To Rule The World,187466,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'sophisti-pop', 'synthpop']"
18360,2023-12-10 18:37,Blur,Song 2 - 2012 Remaster,121160,"['alternative rock', 'britpop', 'madchester', 'permanent wave', 'rock']"
18361,2023-12-10 18:40,The Smiths,This Charming Man - 2011 Remaster,162920,"['madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']"
18362,2023-12-10 18:43,The Kooks,Naive,203506,"['brighton indie', 'garage rock', 'modern rock', 'rock']"
18363,2023-12-10 18:48,Oasis,Don't Look Back In Anger - Remastered,289560,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']"
18364,2023-12-10 18:50,The Verve,Space And Time,144043,"['britpop', 'permanent wave', 'rock', 'shoegaze']"
18365,2023-12-10 18:51,The Temper Trap,Sweet Disposition,22540,"['indietronica', 'modern rock', 'shimmer pop']"
18366,2023-12-10 18:55,The Smashing Pumpkins,1979 - Remastered 2012,266200,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']"
18367,2023-12-10 18:59,Pixies,Where Is My Mind? - Remastered,234973,"['alternative rock', 'boston rock', 'permanent wave', 'rock']"
18368,2023-12-10 19:03,David Bowie,Starman - 2012 Remaster,254293,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']"
18369,2023-12-10 19:08,MGMT,Time to Pretend,261000,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']"
18370,2023-12-10 19:11,Green Day,Brain Stew,193000,"['modern rock', 'permanent wave', 'punk', 'rock']"
18371,2023-12-10 19:14,blink-182,All The Small Things,167066,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']"
18372,2023-12-10 19:17,Red Hot Chili Peppers,Scar Tissue,215906,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
18373,2023-12-10 19:22,The Smashing Pumpkins,Drown,270400,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']"
18374,2023-12-10 19:28,David Bowie,Heroes - 2017 Remaster,371413,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']"
18375,2023-12-10 19:32,MGMT,Electric Feel,229640,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']"
18376,2023-12-10 19:35,Pixies,Debaser,171746,"['alternative rock', 'boston rock', 'permanent wave', 'rock']"
18377,2023-12-10 19:39,blink-182,Adam's Song,249626,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']"
18378,2023-12-10 19:43,Tom Petty and the Heartbreakers,Mary Jane's Last Dance,273600,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
18379,2023-12-10 19:44,Red Hot Chili Peppers,Californication,39783,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
18380,2023-12-10 19:50,The Smashing Pumpkins,Mayonaise - 2011 Remaster,348773,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']"
18381,2023-12-10 19:55,MGMT,Kids,302840,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']"
18382,2023-12-10 20:00,U2,Sunday Bloody Sunday - Remastered 2008,279440,"['irish rock', 'permanent wave', 'rock']"
18383,2023-12-10 20:02,blink-182,What's My Age Again?,148360,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']"
18384,2023-12-10 20:04,Pixies,The Thing,118933,"['alternative rock', 'boston rock', 'permanent wave', 'rock']"
18385,2023-12-10 20:08,Foo Fighters,Everlong,250546,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
18386,2023-12-10 20:11,The Strokes,Is This It,151333,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']"
18387,2023-12-10 20:14,The Smashing Pumpkins,Cupid De Locke - Remastered 2012,170280,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']"
18388,2023-12-10 20:17,The Killers,When You Were Young,220426,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']"
