,artistName,trackName,msPlayed,artist_genres
13569,Kanye West,Famous,196040,"['chicago rap', 'hip hop', 'rap']"
13570,Lil Baby,Freestyle,162053,"['atl hip hop', 'atl trap', 'rap', 'trap']"
13571,ScHoolboy Q,CrasH,161480,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
13572,J. Cole,Wet Dreamz,239266,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
13573,A$AP Rocky,"Fine Whine (feat. Joe Fox, Future & M.I.A.)",218546,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
13574,Metro Boomin,Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),189426,"['hip hop', 'rap']"
13575,Ice Cube,It Was A Good Day,260000,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
13576,Outkast,Roses,60663,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
13577,Drake,Virginia Beach,251094,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
13578,Drake,Amen (feat. Teezo Touchdown),141212,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
13579,Drake,Calling For You (feat. 21 Savage),285630,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
13580,Drake,Fear Of Heights,155154,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
13581,Drake,Daylight,164142,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
13582,Drake,First Person Shooter (feat. J. Cole),247444,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
13583,Drake,IDGAF (feat. Yeat),260111,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
13584,Drake,7969 Santa,259847,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
13585,Drake,Slime You Out (feat. SZA),310490,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
13586,Drake,Bahamas Promises,184089,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
13587,Drake,Tried Our Best,209990,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
