,artistName,trackName,msPlayed,artist_genres
0,Rihanna,Hate That I Love You,4514,"['barbadian pop', 'pop', 'urban contemporary']"
1,Johann Sebastian Bach,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",151480,"['baroque', 'classical', 'early music', 'german baroque']"
2,Gabriel Fauré,"Fauré: Pavane, Op. 50",385857,"['classical', 'post-romantic era']"
3,Wolfgang Amadeus Mozart,"Serenade In G Major ""Eine Kleine Nachtmusik"", K. 525: I. Allegro",466133,"['classical', 'classical era']"
4,Giuseppe Verdi,La traviata / Act I: Libiamo ne'lieti calici,175506,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']"
5,Franz Liszt,"La campanella in G-Sharp Minor (From ""Grandes études de Paganini"", S. 141 / 3)",47342,"['classical', 'late romantic era']"
6,Gold Band,Stern Des Südens (Hymnem Bayern München),12180,"['football', 'fussball']"
7,Edvard Grieg,"Piano Concerto in A minor, Op. 16: II. Adagio - Live",22280,"['classical', 'late romantic era', 'norwegian classical']"
8,Football Chants,Bayern Ambiance after goal,13090,['fan chant']
9,Johann Sebastian Bach,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",151480,"['baroque', 'classical', 'early music', 'german baroque']"
10,Franz Liszt,"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",293146,"['classical', 'late romantic era']"
11,Antonín Dvořák,"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse",432533,"['classical', 'czech classical', 'late romantic era']"
12,Franz Liszt,"Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major",270000,"['classical', 'late romantic era']"
13,Pyotr Ilyich Tchaikovsky,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",166866,"['classical', 'late romantic era', 'russian romanticism']"
14,Edvard Grieg,"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato",820853,"['classical', 'late romantic era', 'norwegian classical']"
15,Ludwig van Beethoven,Speaking Unto Nations (Beethoven Symphony no 7 - II ),302986,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
16,Gabriel Fauré,"Fauré: Pavane, Op. 50",385857,"['classical', 'post-romantic era']"
17,Wolfgang Amadeus Mozart,"Piano Sonata No. 12 in F Major, K. 332: II. Adagio",284000,"['classical', 'classical era']"
18,Edward Elgar,"Elgar: Cello Concerto in E Minor, Op. 85: I. Adagio - Moderato",478573,"['british modern classical', 'classical', 'late romantic era', 'victorian britain']"
19,Johann Sebastian Bach,Toccata and Fugue in D minor,567466,"['baroque', 'classical', 'early music', 'german baroque']"
20,George Frideric Handel,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",207266,"['baroque', 'classical', 'early music', 'english baroque', 'german baroque']"
21,Ludovico Einaudi,Nuvole Bianche,357706,"['compositional ambient', 'neo-classical']"
22,Pyotr Ilyich Tchaikovsky,"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 13, Waltz of the Flowers",415813,"['classical', 'late romantic era', 'russian romanticism']"
23,Wolfgang Amadeus Mozart,"Serenade In G Major ""Eine Kleine Nachtmusik"", K. 525: I. Allegro",466133,"['classical', 'classical era']"
24,Claude Debussy,"Suite Bergamasque, L. 75: III. Clair de lune (Andante très expressif)",279160,"['classical', 'impressionism', 'post-romantic era']"
25,Frédéric Chopin,"Nocturne en Mi Bémol Majeur, Op. 9 No. 2",268426,"['classical', 'early romantic era', 'polish classical']"
26,Samuel Barber,Barber: Adagio for Strings,537426,"['american modern classical', 'classical']"
27,Felix Mendelssohn,"Violin Concerto in E Minor, Op. 64, MWV O 14: 1. Allegro molto appassionato",727786,"['classical', 'early romantic era', 'german romanticism']"
28,Charles Gounod,Ave Maria,163266,"['classical', 'french opera', 'french romanticism', 'late romantic era']"
29,Frédéric Chopin,"Chopin: 24 Preludes, Op. 28: No. 15 in D-Flat Major ""Raindrop""",348333,"['classical', 'early romantic era', 'polish classical']"
30,Jeff Hanc,Little Fugue In G minor,207773,[]
31,Johannes Brahms,"Symphony No. 3 in F Major, Op. 90: III. Poco allegretto",374733,"['classical', 'german romanticism', 'late romantic era']"
32,Franz Liszt,"Ständchen in D Minor (After Schubert), S. 560",357746,"['classical', 'late romantic era']"
33,Pyotr Ilyich Tchaikovsky,"Serenade for Strings in C major, Op. 48: II. Walzer: Moderato, tempo di valse",53662,"['classical', 'late romantic era', 'russian romanticism']"
34,Drake,You Only Live Twice (with Lil Wayne & Rick Ross),213103,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
35,Lil Wayne,Lollipop,299333,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
36,Lil Wayne,Rich As Fuck,223173,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
37,Lil Wayne,Feelin' Like Tunechi,186059,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
38,Polo G,GANG GANG (with Lil Wayne),178775,"['chicago rap', 'rap']"
39,Lil Wayne,Dark Side Of The Moon (feat. Nicki Minaj),218888,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
40,Kanye West,All Of The Lights (Interlude),62253,"['chicago rap', 'hip hop', 'rap']"
41,Kanye West,All Of The Lights,299613,"['chicago rap', 'hip hop', 'rap']"
42,Rihanna,Where Have You Been,131962,"['barbadian pop', 'pop', 'urban contemporary']"
43,Rihanna,Needed Me,348,"['barbadian pop', 'pop', 'urban contemporary']"
44,Rihanna,Rude Boy,156641,"['barbadian pop', 'pop', 'urban contemporary']"
45,Rihanna,Stay,240706,"['barbadian pop', 'pop', 'urban contemporary']"
46,Rihanna,Needed Me,134074,"['barbadian pop', 'pop', 'urban contemporary']"
47,Rihanna,S&M,74605,"['barbadian pop', 'pop', 'urban contemporary']"
48,Rihanna,Kiss It Better,0,"['barbadian pop', 'pop', 'urban contemporary']"
49,Rihanna,Don't Stop The Music,267080,"['barbadian pop', 'pop', 'urban contemporary']"
50,Rihanna,What's My Name?,263173,"['barbadian pop', 'pop', 'urban contemporary']"
51,Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,163806,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
52,Kanye West,Dark Fantasy,280786,"['chicago rap', 'hip hop', 'rap']"
53,Kanye West,Gorgeous,357653,"['chicago rap', 'hip hop', 'rap']"
54,Kanye West,Can't Tell Me Nothing,271600,"['chicago rap', 'hip hop', 'rap']"
55,JAY-Z,Gotta Have It,140746,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
56,Kanye West,Gorgeous,111032,"['chicago rap', 'hip hop', 'rap']"
57,Young Thug,High (feat. Elton John),195160,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
58,Wiz Khalifa,Hopeless Romantic (feat. Swae Lee),32870,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
59,Juice WRLD,Armed And Dangerous,169999,"['chicago rap', 'melodic rap', 'rap']"
60,Lil Baby,Freestyle,162053,"['atl hip hop', 'atl trap', 'rap', 'trap']"
61,JAY-Z,Who Gon Stop Me,256706,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
62,Chief Keef,Hallelujah,182453,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']"
63,Baby Keem,ORANGE SODA,119803,"['hip hop', 'rap']"
64,blink-182,What's My Age Again?,148360,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']"
65,Lil Uzi Vert,7AM,219712,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']"
66,Mac Miller,Blue World,122030,"['hip hop', 'pittsburgh rap', 'rap']"
67,Mac Miller,Blue World,11392,"['hip hop', 'pittsburgh rap', 'rap']"
68,YoungBoy Never Broke Again,Untouchable,180705,"['baton rouge rap', 'rap']"
69,Soulja Boy,Turn My Swag On,206333,"['atl hip hop', 'chicago bop', 'dance pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
70,Mac Miller,Knock Knock,118819,"['hip hop', 'pittsburgh rap', 'rap']"
71,The Killers,When You Were Young,21238,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']"
72,Fivio Foreign,City of Gods,256000,"['brooklyn drill', 'new york drill', 'trap']"
73,Johann Sebastian Bach,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",151480,"['baroque', 'classical', 'early music', 'german baroque']"
74,Johann Strauss II,"An der schönen blauen Donau, Op. 314",707173,"['classical', 'late romantic era', 'operetta']"
75,Antonio Vivaldi,"Vivaldi: The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro",187720,"['baroque', 'classical', 'early music', 'italian baroque']"
76,Ludovico Einaudi,Nuvole Bianche,357706,"['compositional ambient', 'neo-classical']"
77,Jazzinuf,Winter Seoul (Orchestral Version),132441,['chillhop']
78,Franz Schubert,"4 Impromptus, Op. 90, D.899: No. 4 in A Flat Major: Allegretto",497773,"['classical', 'classical era', 'early romantic era']"
79,Claude Debussy,"Suite Bergamasque, L. 75: III. Clair de lune (Andante très expressif)",279160,"['classical', 'impressionism', 'post-romantic era']"
80,Franz Liszt,"Hungarian Rhapsody No. 2 in C-Sharp Minor, S. 244/2",297191,"['classical', 'late romantic era']"
81,Johann Sebastian Bach,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",151480,"['baroque', 'classical', 'early music', 'german baroque']"
82,Johann Sebastian Bach,Violin Concerto BWV 1042 in E Major: Violin Concerto BWV 1042 in E Major: I. Allegro,453506,"['baroque', 'classical', 'early music', 'german baroque']"
83,Johann Pachelbel,Pachelbel: Canon and Gigue for Three Violins and Continuo in D Major: Canon,301586,"['baroque', 'classical', 'german baroque']"
84,Ludovico Einaudi,Nuvole Bianche,357706,"['compositional ambient', 'neo-classical']"
85,Frédéric Chopin,"Nocturne en Mi Bémol Majeur, Op. 9 No. 2",268426,"['classical', 'early romantic era', 'polish classical']"
86,Johann Sebastian Bach,"The Well-Tempered Clavier, Book 1, BWV 846-869 / Prelude & Fugue in C Major, BWV 846: I. Prelude",139306,"['baroque', 'classical', 'early music', 'german baroque']"
87,Johannes Brahms,"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in G Minor. Allegro (Orch. Schmeling)",138706,"['classical', 'german romanticism', 'late romantic era']"
88,Antonio Vivaldi,"Vivaldi: The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto",173426,"['baroque', 'classical', 'early music', 'italian baroque']"
89,Georges Bizet,Carmen Suite No. 1: 5. Les toréadors,6153,"['classical', 'french opera', 'french romanticism', 'late romantic era']"
90,Claude Debussy,"Suite Bergamasque, L. 75: III. Clair de lune (Andante très expressif)",13760,"['classical', 'impressionism', 'post-romantic era']"
91,Wolfgang Amadeus Mozart,"Piano Sonata No. 12 in F Major, K. 332: II. Adagio",284000,"['classical', 'classical era']"
92,Giacomo Puccini,Puccini: Crisantemi,421560,"['classical', 'italian opera', 'italian romanticism', 'post-romantic era']"
93,Ottorino Respighi,"Bach - 3 chorales, P. 167: No. 3. Andante (after J.S. Bach's Wachet auf ruft uns die Stimme, BWV 645)",308440,"['classical', 'early modern classical', 'impressionism', 'italian romanticism', 'neoclassicism', 'post-romantic era']"
94,Claude Debussy,"Suite bergamasque, L. 75: III. Clair de lune",294960,"['classical', 'impressionism', 'post-romantic era']"
95,William Walton,Henry V: Henry V: Touch her soft lips and part,93840,"['british modern classical', 'early modern classical']"
96,Claude Debussy,"Préludes / Book 2, L. 123: 5. Bruyères - Home Session",216061,"['classical', 'impressionism', 'post-romantic era']"
97,Joep Beving,Midwayer,345800,"['compositional ambient', 'neo-classical']"
98,Johannes Brahms,"16 Waltzes, Op. 39: No. 15 In A Flat Major",94333,"['classical', 'german romanticism', 'late romantic era']"
99,Georges Bizet,"Chants du Rhin, WD 52: Les rêves",224333,"['classical', 'french opera', 'french romanticism', 'late romantic era']"
100,Sergei Rachmaninoff,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",417551,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']"
101,Baal HaSulam,Melodies of the Upper Worlds (Arr. M. Ayrapetyan for Piano): XIII. To Proclaim in the Morning About Your Mercy,177226,[]
102,Heitor Villa-Lobos,"Pequena Suíte, W064: V. Melodia",157293,"['brazilian classical', 'classical', 'early modern classical', 'latin classical', 'neoclassicism']"
103,Edvard Grieg,"Pièces Lyriques, Op. 47 No. 3: Mélodie",256360,"['classical', 'late romantic era', 'norwegian classical']"
104,Mikael Ayrapetyan,"Miniatures for Piano ""A Whole in Twelve"": No. 2, The Lady Plays",306373,['caucasian classical piano']
105,Damjan Krajacic,Le Musicien,211578,['deep latin jazz']
106,Lavinia Meijer,Written on the Sky,122362,['classical harp']
107,Ignaz Friedman,"Orfeo ed Euridice, Act II: Dance of the Blessed Spirits, ""Mélodie"" (arr. I. Friedman for piano)",251733,['historic piano performance']
108,Tom Ashbrook,Solitude I,229606,['neo-classical']
109,Max Richter,On the Nature of Daylight (Arr. Mackay),381106,"['compositional ambient', 'post-minimalism']"
110,Valentin Silvestrov,4 Postludes for Piano & String Orchestra: No. 1. Larghetto - Andante,336520,"['ukrainian classical', 'ukrainian classical piano', 'ukrainian contemporary classical']"
111,Ennio Morricone,"Gabriel's Oboe (From ""The Mission"")",222400,"['classic soundtrack', 'italian soundtrack', 'orchestral soundtrack', 'vintage italian soundtrack']"
112,Kanye West,Jesus Walks,193733,"['chicago rap', 'hip hop', 'rap']"
113,ScHoolboy Q,Studio,449686,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
114,Kodak Black,Gnarly (feat. Lil Pump),186402,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']"
115,Kanye West,All Of The Lights,299613,"['chicago rap', 'hip hop', 'rap']"
116,Childish Gambino,I. The Worst Guys,219739,"['atl hip hop', 'hip hop', 'rap']"
117,Lil Uzi Vert,Sanguine Paradise,243976,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']"
118,Travis Scott,STARGAZING,10285,"['hip hop', 'rap', 'slap house']"
119,Ludwig van Beethoven,"Violin Concerto in D Major, Op. 61: II. Larghetto",486000,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
120,Travis Scott,STARGAZING,167253,"['hip hop', 'rap', 'slap house']"
121,Claude Debussy,"2 Arabesques, L. 66: No. 1 in E Major",273413,"['classical', 'impressionism', 'post-romantic era']"
122,Felix Mendelssohn,"Lieder ohne Worte (Songs without Words), Book 2, Op. 30: No. 7 in E-Flat Major, Op. 30, No. 1",282813,"['classical', 'early romantic era', 'german romanticism']"
123,Philip Glass,Glassworks: Opening,221111,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']"
124,Komitas,"12 Pieces for Children: No. 6, My Darling and Marjan (Variation)",77093,"['armenian folk', 'caucasian classical', 'oriental classical']"
125,Valentin Silvestrov,"4 Postludes for Piano & String Orchestra: No. 3. Larghetto, con moto (poco rubato)",170346,"['ukrainian classical', 'ukrainian classical piano', 'ukrainian contemporary classical']"
126,Erik Satie,"Mercure, Scene 1: La nuit",73826,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']"
127,William Grant Still,3 Visions: No. 2. Summerland,261533,"['african-american classical', 'american modern classical', 'early modern classical', 'harlem renaissance']"
128,Manuel de Falla,Siete canciones populares españolas: VI. Nana - for alto and piano,133120,"['classical', 'early modern classical', 'impressionism', 'neoclassicism', 'post-romantic era', 'spanish classical']"
129,John Cage,In a Landscape,531826,"['american contemporary classical', 'avant-garde', 'classical', 'compositional ambient', 'contemporary classical', 'experimental']"
130,Johann Sebastian Bach,"Bach: Arioso (Arr. Cortot After Harpsichord Concerto No. 5 in F Minor, BWV 1056)",174383,"['baroque', 'classical', 'early music', 'german baroque']"
131,Johann Pachelbel,Pachelbel: Canon and Gigue for Three Violins and Continuo in D Major: Canon,377226,"['baroque', 'classical', 'german baroque']"
132,Yiruma,We Contain Multitudes — piano reworks,264052,"['korean instrumental', 'neo-classical', 'new age piano']"
133,Camille Saint-Saëns,Carnival of the Animals: The Swan,150146,"['classical', 'french romanticism', 'late romantic era']"
134,Valentin Silvestrov,Naive Music: No. 2. Nocturne,155586,"['ukrainian classical', 'ukrainian classical piano', 'ukrainian contemporary classical']"
135,Claude Debussy,"Rêverie, L. 68: Rêverie",257000,"['classical', 'impressionism', 'post-romantic era']"
136,Traditional,Scarborough Fair (Arr. Parkin for Cello and Guitar),194533,"['gregorian chant', 'hengelliset laulut', 'puirt-a-beul']"
137,GÅEL,Mid Air,147936,['ambient worship']
138,Wolfgang Amadeus Mozart,"Clarinet Concerto in A Major, K. 622: II. Adagio",564287,"['classical', 'classical era']"
139,Traditional,Blow The Wind Southerly (Arr. Kanneh-Mason for Cello),142066,"['gregorian chant', 'hengelliset laulut', 'puirt-a-beul']"
140,Johannes Brahms,"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major",378733,"['classical', 'german romanticism', 'late romantic era']"
141,Johann Sebastian Bach,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air ""On a G String"" (Arr. for Piano)",328800,"['baroque', 'classical', 'early music', 'german baroque']"
142,Robert Schumann,"3 Romanzen, Op. 28: No. 2 in F-Sharp Major (Einfach)",230180,"['early romantic era', 'german romanticism']"
143,Traditional,"Limu, limu, lima (Arr. Schindler for Piano)",335360,"['gregorian chant', 'hengelliset laulut', 'puirt-a-beul']"
144,George Walker,Lyric for Strings,322596,"['african-american classical', 'american modern classical']"
145,Ola Gjeilo,Homebound,122440,"['21st century classical', 'nordic contemporary classical']"
146,Sigvaldi Kaldalóns,Ave María (Arr. Víkingur Ólafsson) - Upright Piano,216213,['icelandic classical']
147,Edvard Grieg,"Peer Gynt Suite No. 2, Op. 55: IV. Solveig's Song",311560,"['classical', 'late romantic era', 'norwegian classical']"
148,Johann Sebastian Bach,"Gottes Zeit ist die allerbeste Zeit, Sonatina az ""Actus tragicus""-ból, BWV 106",138880,"['baroque', 'classical', 'early music', 'german baroque']"
149,Louis Vierne,"Douze préludes, Op. 36: No. 10, Sur une tombe",156866,"['classical organ', 'french romanticism']"
150,Tigran Hamasyan,Tsirani Tsar,34679,"['armenian folk', 'contemporary jazz', 'jazz piano', 'modern jazz piano']"
151,Víkingur Ólafsson,…And at the Hour of Death,152933,"['classical piano', 'nordic classical piano']"
152,Kendrick Lamar,BLOOD.,118066,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
153,Kendrick Lamar,DNA.,185946,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
154,Kendrick Lamar,YAH.,160293,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
155,Kendrick Lamar,ELEMENT.,208733,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
156,Kendrick Lamar,FEEL.,214826,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
157,Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,227360,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
158,Kendrick Lamar,PRIDE.,275253,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
159,Kendrick Lamar,HUMBLE.,177000,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
160,Kendrick Lamar,LUST.,58962,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
161,Joey Bada$$,DEVASTATED,207058,"['conscious hip hop', 'hip hop', 'rap']"
162,A$AP Rocky,"Fine Whine (feat. Joe Fox, Future & M.I.A.)",218546,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
163,Young Thug,RiRi,244320,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
164,Drake,Marvins Room,122771,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
165,Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,236506,"['dance pop', 'pop']"
166,blink-182,I Miss You,227240,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']"
167,Mac Miller,Fight the Feeling,132330,"['hip hop', 'pittsburgh rap', 'rap']"
168,Kendrick Lamar,PRIDE.,275253,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
169,Kendrick Lamar,HUMBLE.,177000,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
170,Kendrick Lamar,LUST.,307880,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
171,Kendrick Lamar,LOVE. FEAT. ZACARI.,213400,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
172,Kendrick Lamar,XXX. FEAT. U2.,254200,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
173,Kendrick Lamar,FEAR.,460573,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
174,Kendrick Lamar,GOD.,248826,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
175,Kanye West,Father Stretch My Hands Pt. 1,22464,"['chicago rap', 'hip hop', 'rap']"
176,Kendrick Lamar,DUCKWORTH.,248613,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
177,Mac Miller,Circles,170360,"['hip hop', 'pittsburgh rap', 'rap']"
178,Mac Miller,Complicated,232211,"['hip hop', 'pittsburgh rap', 'rap']"
179,Mac Miller,Blue World,209440,"['hip hop', 'pittsburgh rap', 'rap']"
180,Mac Miller,Good News,342040,"['hip hop', 'pittsburgh rap', 'rap']"
181,Mac Miller,I Can See,220853,"['hip hop', 'pittsburgh rap', 'rap']"
182,Mac Miller,Everybody,256506,"['hip hop', 'pittsburgh rap', 'rap']"
183,Mac Miller,Woods,286386,"['hip hop', 'pittsburgh rap', 'rap']"
184,Mac Miller,Hand Me Downs,298440,"['hip hop', 'pittsburgh rap', 'rap']"
185,Mac Miller,That's On Me,217868,"['hip hop', 'pittsburgh rap', 'rap']"
186,Mac Miller,Hands,199981,"['hip hop', 'pittsburgh rap', 'rap']"
187,Mac Miller,Surf,330506,"['hip hop', 'pittsburgh rap', 'rap']"
188,Mac Miller,Once A Day,160266,"['hip hop', 'pittsburgh rap', 'rap']"
189,Young Thug,Day Before (with Mac Miller),135583,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
190,"Tyler, The Creator",See You Again (feat. Kali Uchis),21714,"['hip hop', 'rap']"
191,Johann Sebastian Bach,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",151480,"['baroque', 'classical', 'early music', 'german baroque']"
192,Pyotr Ilyich Tchaikovsky,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",166866,"['classical', 'late romantic era', 'russian romanticism']"
193,Ludwig van Beethoven,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",315426,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
194,Franz Liszt,"Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major",270000,"['classical', 'late romantic era']"
195,Johannes Brahms,"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in G Minor. Allegro (Orch. Schmeling)",138706,"['classical', 'german romanticism', 'late romantic era']"
196,George Frideric Handel,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",207266,"['baroque', 'classical', 'early music', 'english baroque', 'german baroque']"
197,Frédéric Chopin,"Nocturne en Mi Bémol Majeur, Op. 9 No. 2",268426,"['classical', 'early romantic era', 'polish classical']"
198,Jazzinuf,Winter Seoul (Orchestral Version),132441,['chillhop']
199,Antonín Dvořák,"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse",432533,"['classical', 'czech classical', 'late romantic era']"
200,Wolfgang Amadeus Mozart,"Requiem, K. 626: Lacrimosa",169666,"['classical', 'classical era']"
201,Dmitri Shostakovich,Jazz Suite No. 2: VI. Waltz 2,193600,"['classical', 'compositional ambient', 'russian modern classical']"
202,Claude Debussy,"Suite Bergamasque, L. 75: III. Clair de lune (Andante très expressif)",279160,"['classical', 'impressionism', 'post-romantic era']"
203,Camille Saint-Saëns,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",174266,"['classical', 'french romanticism', 'late romantic era']"
204,Pyotr Ilyich Tchaikovsky,"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 13, Waltz of the Flowers",195450,"['classical', 'late romantic era', 'russian romanticism']"
205,Wolfgang Amadeus Mozart,"Piano Sonata No. 12 in F Major, K. 332: II. Adagio",284000,"['classical', 'classical era']"
206,Erik Satie,Gymnopédie No. 1,205866,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']"
207,Georges Bizet,"Chants du Rhin, WD 52: Les rêves",129633,"['classical', 'french opera', 'french romanticism', 'late romantic era']"
208,Georges Bizet,"Chants du Rhin, WD 52: Les rêves",94746,"['classical', 'french opera', 'french romanticism', 'late romantic era']"
209,John Cage,In a Landscape,531826,"['american contemporary classical', 'avant-garde', 'classical', 'compositional ambient', 'contemporary classical', 'experimental']"
210,Tigran Hamasyan,Tsirani Tsar,151177,"['armenian folk', 'contemporary jazz', 'jazz piano', 'modern jazz piano']"
211,Kendrick Lamar,FEEL.,214826,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
212,Kendrick Lamar,PRIDE.,275253,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
213,Kendrick Lamar,LUST.,307880,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
214,A$AP Rocky,Same Problems?,262941,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
215,Outkast,13th Floor/Growing Old,112553,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
216,Kendrick Lamar,FEEL.,214826,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
217,A$AP Rocky,Changes,1962,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
218,Foals,Spanish Sahara,393420,"['alternative dance', 'garage rock', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'neo-synthpop', 'oxford indie', 'shimmer pop']"
219,Kendrick Lamar,PRIDE.,275253,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
220,Kendrick Lamar,LUST.,307880,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
221,Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,222906,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
222,Kendrick Lamar,BLOOD.,118066,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
223,Kendrick Lamar,DNA.,185946,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
224,Kendrick Lamar,YAH.,160293,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
225,Kendrick Lamar,ELEMENT.,208733,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
226,Kendrick Lamar,FEEL.,214826,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
227,Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,227360,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
228,Kendrick Lamar,PRIDE.,275253,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
229,Kendrick Lamar,HUMBLE.,177000,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
230,Kendrick Lamar,LUST.,307880,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
231,Kendrick Lamar,LOVE. FEAT. ZACARI.,213400,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
