,Unnamed: 0,trackName,Artist,msPlayed,artist_genres,Track Play Count
334,334,Issues (feat. Russ),PnB Rock,232857,"['melodic rap', 'rap', 'trap']",5
336,336,Long Live A$AP,A$AP Rocky,289587,"['east coast hip hop', 'hip hop', 'rap', 'trap']",5
3381,3381,GOOD TIME,Niko Moon,214720,[],5
6666,6666,Had It,Morgan Wallen,199108,['contemporary country'],5
2359,2359,Name in the Sand,Lil Skies,168751,['melodic rap'],5
2731,2731,Loverboy,Joesef,238123,"['indie soul', 'uk alternative pop']",5
4598,4598,Wish You'd Miss Me,CHASE WRIGHT,202566,['modern country pop'],5
2355,2355,When I'm Wasted,Lil Skies,201352,['melodic rap'],5
2734,2734,Zeus,Croosh,150500,[],5
376,376,Human,Jon Bellion,205268,['indie pop rap'],5
6652,6652,F150-50,Morgan Wallen,191635,['contemporary country'],5
2351,2351,Flooded,Lil Skies,115722,['melodic rap'],5
3854,3854,What You Need (feat. 916frosty & Steele 11),SypSki,174968,['sad rap'],5
2658,2658,Cheryl,Yung Gravy,169020,"['meme rap', 'minnesota hip hop']",5
728,728,Year 3000,Jonas Brothers,201813,"['boy band', 'pop']",5
1003,1003,Super Bass,Nicki Minaj,201253,"['hip pop', 'pop', 'queens hip hop', 'rap']",5
1129,1129,Midnight City,M83,241440,"['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop']",5
3102,3102,Leray,Trippie Redd,122707,"['melodic rap', 'rap', 'trap']",5
3959,3959,Misbehaving,Labrinth,228856,"['indie poptimism', 'pop']",5
5835,5835,Welcome To Heartbreak (feat. Kid Cudi),Kanye West,262933,"['chicago rap', 'hip hop', 'rap']",5
3970,3970,Take Me Away (feat. Syd),Daniel Caesar,226116,['canadian contemporary r&b'],5
5114,5114,Ooouuu,Young M.A,234650,"['alternative r&b', 'lgbtq+ hip hop', 'nyc rap', 'rap', 'trap']",5
5794,5794,Oceans (feat. Frank Ocean),JAY-Z,238011,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",5
1188,1188,Nice For What,Drake,210747,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",5
1802,1802,Body (feat. brando) [Dirtcaps Remix],Loud Luxury,198031,"['edm', 'pop dance', 'uk dance']",5
2119,2119,No Grass Today,AJR,259115,['pov: indie'],5
1209,1209,Trust Fund Baby,Why Don't We,184460,"['boy band', 'pop']",5
5775,5775,Take It Easy,Eagles,211579,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",5
1780,1780,Six Feet Under (Jerry Folk Remix),Billie Eilish,200898,"['art pop', 'pop']",5
5190,5190,enough for you,Olivia Rodrigo,202827,['pop'],5
